 	Area	Mean	Min	Max
1911	344064	349.558	267	3587
1912	344064	349.154	265	3074
1913	344064	348.999	268	3709
1914	344064	348.863	264	3798
1915	344064	348.613	269	3650
1916	344064	348.716	269	3537
1917	344064	349.822	270	3521
1918	344064	348.907	267	3581
1919	344064	348.408	270	3648
1920	344064	348.296	269	3273
1921	344064	348.541	262	3367
1922	344064	348.687	269	3414
1923	344064	348.364	271	3648
1924	344064	347.984	267	3324
1925	344064	348.166	267	3617
1926	344064	348.080	265	3656
1927	344064	348.118	269	3528
1928	344064	347.879	267	3148
1929	344064	348.317	267	3417
1930	344064	348.176	267	3217
1931	344064	347.784	269	3138
1932	344064	348.074	273	3204
1933	344064	348.462	271	3462
1934	344064	348.736	268	3389
1935	344064	348.299	270	3456
1936	344064	348.215	271	3620
1937	344064	347.787	268	3579
1938	344064	348.036	268	3492
1939	344064	348.002	267	3564
1940	344064	347.731	270	3264
1941	344064	347.865	268	3187
1942	344064	348.138	267	3421
1943	344064	347.861	269	3293
1944	344064	347.598	269	3541
1945	344064	347.864	265	3544
1946	344064	347.705	268	3304
1947	344064	348.720	267	3044
1948	344064	348.316	270	3385
1949	344064	347.919	270	3499
1950	344064	347.500	270	3159
1951	344064	347.612	269	3383
1952	344064	347.568	267	3328
1953	344064	347.856	266	3393
1954	344064	347.331	267	3206
1955	344064	347.315	268	3136
1956	344064	347.348	266	3574
1957	344064	347.246	265	3360
1958	344064	347.343	265	3222
1959	344064	347.061	269	3220
1960	344064	347.551	267	3192
1961	344064	841.170	389	4095
1962	344064	843.816	386	4095
1963	344064	843.032	390	4095
1964	344064	843.437	383	4095
1965	344064	844.585	391	4095
1966	344064	737.406	402	4095
1967	344064	741.021	405	4095
1968	344064	735.072	397	4095
1969	344064	734.521	405	4095
1970	344064	734.347	392	4095
1971	344064	490.928	317	4095
1972	344064	491.408	322	4095
1973	344064	491.877	325	4095
1974	344064	491.606	322	4095
1975	344064	493.127	323	4095
1976	344064	400.154	284	4095
1977	344064	399.500	279	4095
1978	344064	399.074	285	4095
1979	344064	398.390	283	4095
1980	344064	398.644	281	4095
